date,open,high,low,close,volume,factor,vwap
2018-01-02,6263.1506,6332.6089,6258.1563,6332.2269,7303223500.0,1.0,12.07055833851997
2018-01-03,6331.7199,6391.9799,6324.2604,6388.2533,8393674500.0,1.0,12.325315494185531
2018-01-04,6380.2665,6418.256,6375.5134,6417.535,8054369000.0,1.0,12.779357314769165
2018-01-05,6414.7658,6435.854,6397.2929,6417.2537,8158101800.0,1.0,11.968752025624392
2018-01-08,6413.8733,6446.7879,6393.8819,6446.1818,8947692900.0,1.0,11.890170076132138
2018-01-09,6441.6841,6449.0346,6425.0274,6445.7462,7557321700.0,1.0,12.284482109051941
2018-01-10,6443.4609,6444.3088,6361.0948,6405.9395,8096697400.0,1.0,12.2195877579666
2018-01-11,6391.9041,6432.4398,6371.5436,6425.9401,7877007100.0,1.0,11.624873449460265
2018-01-12,6418.8273,6435.1946,6387.7824,6399.3737,7783455800.0,1.0,11.534344119741773
2018-01-15,6391.3662,6392.5174,6236.5629,6253.3759,9147403200.0,1.0,12.081343623947832
2018-01-16,6245.153,6301.4047,6245.1129,6301.1327,7916973400.0,1.0,12.17193197276626
2018-01-17,6288.0169,6288.1439,6202.3151,6267.4599,8419550300.0,1.0,11.840829772345442
2018-01-18,6253.0611,6295.7766,6253.0611,6286.8007,6501529300.0,1.0,11.827496256150072
2018-01-19,6284.5962,6316.9977,6261.2353,6272.38,7180674200.0,1.0,11.734714795443582
2018-01-22,6264.755,6347.8147,6248.3142,6347.6383,7276116900.0,1.0,11.747403927086438
2018-01-23,6342.6884,6362.58,6330.4561,6354.9978,6675388600.0,1.0,12.065163612497406
2018-01-24,6353.2979,6395.5723,6322.9197,6394.2999,7734772700.0,1.0,12.25040317901003
2018-01-25,6386.7993,6424.3507,6380.8375,6382.7165,8108293700.0,1.0,11.83855037947133
2018-01-26,6374.0998,6401.4838,6368.9006,6383.6312,6900454900.0,1.0,11.952371518144405
2018-01-29,6385.0365,6398.9699,6295.8952,6309.8836,8403116100.0,1.0,11.526923870776937
2018-01-30,6301.3482,6330.5373,6300.4556,6313.442,7069968800.0,1.0,11.538606307428118
2018-01-31,6277.7418,6277.7418,6170.1606,6189.3413,8073349500.0,1.0,10.913216845251156
2018-02-01,6180.9992,6196.7148,5984.2843,5984.7428,9496852400.0,1.0,10.753251987153133
2018-02-02,5937.6198,6006.4745,5844.4638,6004.8494,8374756100.0,1.0,10.693723441092212
2018-02-05,5927.7367,6016.157,5907.4691,5998.2236,7404651900.0,1.0,10.706387228817603
2018-02-06,5886.3455,5920.7398,5702.8503,5704.2641,9234070900.0,1.0,10.359021702443286
2018-02-07,5805.965,5831.8113,5630.0868,5711.3322,8523599700.0,1.0,10.437541168551123
2018-02-08,5695.6656,5786.7852,5691.2916,5766.4797,6244479700.0,1.0,10.62350240244996
2018-02-09,5631.9603,5663.1036,5490.6248,5554.8974,8431884200.0,1.0,9.759582597446013
2018-02-12,5581.7113,5714.8183,5581.7113,5699.0979,5724649400.0,1.0,10.730920606771132
2018-02-13,5731.147,5789.6975,5727.754,5736.9505,5720863400.0,1.0,10.975703369005455
2018-02-14,5741.8838,5761.7685,5712.879,5754.8344,4139822200.0,1.0,10.263721542678814
2018-02-22,5800.9493,5875.7592,5797.9076,5875.7272,5963610700.0,1.0,10.39503641862471
2018-02-23,5877.7159,5902.9357,5848.5227,5897.6765,6214785000.0,1.0,10.430787736180736
2018-02-26,5926.4208,6032.1358,5917.6165,6029.6795,8307398700.0,1.0,11.082272349104901
2018-02-27,6025.8832,6042.3888,6000.881,6010.5573,7702215800.0,1.0,11.721968178559733
2018-02-28,5967.8977,6044.0694,5939.6425,6023.677,7098691700.0,1.0,11.588967613285698
2018-03-01,5987.3591,6090.9953,5974.1183,6090.2247,7310177300.0,1.0,11.828769190317724
2018-03-02,6053.4765,6094.7976,6044.2591,6056.3354,7343482900.0,1.0,11.729447903119649
2018-03-05,6066.683,6080.9695,6031.9803,6064.0983,6732469300.0,1.0,12.196673697717419
