date,open,high,low,close,volume,factor,vwap
2018-01-02,7027.6346,7092.2206,7022.2315,7092.0947,7719102700.0,1.0,10.844153310202753
2018-01-03,7090.8661,7163.8571,7083.1071,7159.8758,9141001000.0,1.0,11.217258828546239
2018-01-04,7149.6787,7175.3481,7141.6958,7174.865,8882211800.0,1.0,11.346814870030459
2018-01-05,7172.0013,7194.9792,7163.0424,7176.8679,9240143300.0,1.0,11.153848653407788
2018-01-08,7172.044,7188.545,7132.9401,7188.2906,9759601400.0,1.0,11.16105853462417
2018-01-09,7179.9265,7183.2839,7156.1972,7176.7416,8476207300.0,1.0,11.137833231143368
2018-01-10,7172.7252,7175.0776,7089.6561,7138.781,9208339700.0,1.0,11.199926721752023
2018-01-11,7121.4611,7180.3316,7093.7277,7175.3982,8917055700.0,1.0,11.318103303425591
2018-01-12,7166.7464,7174.8411,7125.2307,7127.828,9288887900.0,1.0,10.422801043707288
2018-01-15,7103.6124,7103.7005,6912.7082,6929.3071,10675138600.0,1.0,10.525161505912438
2018-01-16,6916.1572,6960.7259,6915.9911,6960.6772,8686545400.0,1.0,10.712329617364343
2018-01-17,6938.7207,6948.3232,6846.5569,6942.863,9040445400.0,1.0,10.650987369936441
2018-01-18,6928.0948,6963.6238,6926.5856,6955.232,7102332500.0,1.0,10.771752651681684
2018-01-19,6953.3359,6981.8127,6928.6486,6938.3117,7554427700.0,1.0,10.926393569297115
2018-01-22,6928.7978,7014.8264,6902.6295,7014.5476,8149037100.0,1.0,11.221165186743352
2018-01-23,7008.9706,7028.5669,6996.6435,7019.9751,7862263700.0,1.0,11.057369731569802
2018-01-24,7008.4691,7072.8707,6972.6913,7072.4062,9127926800.0,1.0,11.40718966556568
2018-01-25,7065.2957,7110.1509,7057.6363,7062.6351,9715572800.0,1.0,11.365219147037836
2018-01-26,7043.2713,7070.6012,7037.9981,7056.0133,8259698500.0,1.0,11.194015499597231
2018-01-29,7052.3075,7060.1238,6956.1976,6972.4791,8743823100.0,1.0,11.060077790228853
2018-01-30,6955.6767,6977.0972,6944.7985,6955.2425,7330462100.0,1.0,10.939276091066619
2018-01-31,6913.3551,6913.3551,6773.987,6791.0094,9371795300.0,1.0,10.475212451129828
2018-02-01,6775.3591,6792.9899,6505.7607,6506.4526,10818896900.0,1.0,9.893574605004323
2018-02-02,6454.445,6493.224,6322.5755,6487.8671,8589562400.0,1.0,9.98642740542871
2018-02-05,6403.0778,6485.7536,6379.8335,6461.8128,7066574500.0,1.0,10.20636881589517
2018-02-06,6353.2048,6383.1816,6142.4026,6142.6681,9107837500.0,1.0,9.785236834649279
2018-02-07,6236.4564,6270.5688,6042.6268,6158.2574,8468120000.0,1.0,9.99867727098813
2018-02-08,6141.7829,6243.7366,6138.166,6238.2209,6331098900.0,1.0,10.13012555545452
2018-02-09,6100.348,6142.3134,5983.7658,6053.0204,8124400700.0,1.0,9.547824843991261
2018-02-12,6074.4609,6216.5161,6074.4609,6203.7517,6214402200.0,1.0,10.23577986487582
2018-02-13,6229.3764,6268.7754,6211.6281,6216.5101,6140257600.0,1.0,10.318684978786557
2018-02-14,6216.3807,6230.7319,6182.8932,6230.6628,4307827500.0,1.0,10.174670442816014
2018-02-22,6269.3672,6347.1487,6269.3672,6347.0825,5693553300.0,1.0,10.48495442433111
2018-02-23,6346.8222,6367.0559,6316.543,6365.9164,6421282000.0,1.0,10.177959305166787
